rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity,target_modules,use_dora
8,16,1843200,3.8960320949554443,7.216137728,1.5576941967010498,4.747860980375087,"q_proj,v_proj",False
16,32,3686400,4.173518033822377,6.617750016,1.5160834789276123,4.554353000077306,"q_proj,v_proj",False
64,128,14745600,3.7958032846450807,7.998511616,1.4768110513687134,4.378959115873907,"q_proj,v_proj",False
